JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AC	Achats	AC0001	20250105	606100	Fournitures non stockables			FA5001	20250105	Facture NOUVELLE PAPETERIE SARL	1349.42	0.00					
AC	Achats	AC0002	20250105	445660	TVA deductible			FA5001	20250105	TVA sur FA5001	242.90	0.00					
AC	Achats	AC0003	20250105	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5001	20250105	Facture NOUVELLE PAPETERIE SARL	0.00	1592.32					
AC	Achats	AC0004	20250109	606100	Fournitures non stockables			FA5002	20250109	Facture NOUVELLE PAPETERIE SARL	1627.71	0.00					
AC	Achats	AC0005	20250109	445660	TVA deductible			FA5002	20250109	TVA sur FA5002	292.99	0.00					
AC	Achats	AC0006	20250109	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5002	20250109	Facture NOUVELLE PAPETERIE SARL	0.00	1920.70					
AC	Achats	AC0007	20250113	606100	Fournitures non stockables			FA5003	20250113	Facture NOUVELLE PAPETERIE SARL	363.95	0.00					
AC	Achats	AC0008	20250113	445660	TVA deductible			FA5003	20250113	TVA sur FA5003	65.51	0.00					
AC	Achats	AC0009	20250113	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5003	20250113	Facture NOUVELLE PAPETERIE SARL	0.00	429.46					
AC	Achats	AC0010	20250117	606100	Fournitures non stockables			FA5004	20250117	Facture NOUVELLE PAPETERIE SARL	1513.50	0.00					
AC	Achats	AC0011	20250117	445660	TVA deductible			FA5004	20250117	TVA sur FA5004	272.43	0.00					
AC	Achats	AC0012	20250117	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5004	20250117	Facture NOUVELLE PAPETERIE SARL	0.00	1785.93					
AC	Achats	AC0013	20250121	606100	Fournitures non stockables			FA5005	20250121	Facture NOUVELLE PAPETERIE SARL	3646.04	0.00					
AC	Achats	AC0014	20250121	445660	TVA deductible			FA5005	20250121	TVA sur FA5005	656.29	0.00					
AC	Achats	AC0015	20250121	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5005	20250121	Facture NOUVELLE PAPETERIE SARL	0.00	4302.33					
AC	Achats	AC0016	20250125	606100	Fournitures non stockables			FA5006	20250125	Facture GARAGE MODERNE	226.98	0.00					
AC	Achats	AC0017	20250125	445660	TVA deductible			FA5006	20250125	TVA sur FA5006	40.86	0.00					
AC	Achats	AC0018	20250125	401000	Fournisseurs	F011	GARAGE MODERNE	FA5006	20250125	Facture GARAGE MODERNE	0.00	267.84					
AC	Achats	AC0019	20250129	606100	Fournitures non stockables			FA5007	20250129	Facture NOUVELLE PAPETERIE SARL	1719.23	0.00					
AC	Achats	AC0020	20250129	445660	TVA deductible			FA5007	20250129	TVA sur FA5007	309.46	0.00					
